tag,stem,mode,observable,phase,n_steps,slope_true_per_s,slope_pred_per_s,slope_naive_per_s
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,rollout,mean,negative_current,487,-9.172341527055241e-07,-5.827944793669071e-05,2.3862942626895936e-20
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,rollout,p95,negative_current,487,-5.803967104964865e-06,-0.00010525738955779481,1.622680098628924e-19
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,rollout,bright_frac90,negative_current,487,-1.6752239710318365e-06,-1.3303077808343754e-06,-1.1931471313447968e-21
unet_image_only_delta,GRA29_C20_25deg_particle1,next_frame,mean,positive_current,511,-1.996702514507647e-05,-1.9814470418169025e-05,-1.9835324867848408e-05
unet_image_only_delta,GRA29_C20_25deg_particle1,next_frame,mean,negative_current,2438,4.375683031457783e-05,4.373106575536538e-05,4.373526945865347e-05
unet_image_only_delta,GRA29_C20_25deg_particle1,next_frame,p95,positive_current,511,-1.2962546148429928e-05,-1.2901640151294716e-05,-1.2920130688994267e-05
unet_image_only_delta,GRA29_C20_25deg_particle1,next_frame,p95,negative_current,2438,6.419664538425853e-05,6.418437325923059e-05,6.417358680156727e-05
unet_image_only_delta,GRA29_C20_25deg_particle1,next_frame,bright_frac90,positive_current,511,-2.044444984678814e-06,-2.035946166144547e-06,-2.0313614031843724e-06
unet_image_only_delta,GRA29_C20_25deg_particle1,next_frame,bright_frac90,negative_current,2438,1.4851539020030262e-05,1.4901899603531095e-05,1.485057496723625e-05
unet_image_only_delta,GRA29_C20_25deg_particle2,next_frame,mean,positive_current,511,-2.0026451056343203e-05,-1.9855060660629364e-05,-1.9867175950884726e-05
unet_image_only_delta,GRA29_C20_25deg_particle2,next_frame,mean,negative_current,2438,4.067485856519537e-05,4.066733283258391e-05,4.065865344097267e-05
unet_image_only_delta,GRA29_C20_25deg_particle2,next_frame,p95,positive_current,511,-1.1738809591846516e-05,-1.2012445468486778e-05,-1.179225893848736e-05
unet_image_only_delta,GRA29_C20_25deg_particle2,next_frame,p95,negative_current,2438,6.605292083484213e-05,6.608730277839839e-05,6.604180059351031e-05
unet_image_only_delta,GRA29_C20_25deg_particle2,next_frame,bright_frac90,positive_current,511,-3.3348023656179184e-06,-3.322306831007318e-06,-3.3186779368776486e-06
unet_image_only_delta,GRA29_C20_25deg_particle2,next_frame,bright_frac90,negative_current,2438,1.2801610168564676e-05,1.2848924335061057e-05,1.2800472338084111e-05
unet_image_only_delta,GRA29_C20_25deg_particle3,next_frame,mean,positive_current,511,-3.2864755382220996e-05,-3.264662640859321e-05,-3.268168609922487e-05
unet_image_only_delta,GRA29_C20_25deg_particle3,next_frame,mean,negative_current,2438,3.552622182790272e-05,3.551324662254942e-05,3.5509250746936345e-05
unet_image_only_delta,GRA29_C20_25deg_particle3,next_frame,p95,positive_current,511,-3.437143730079904e-05,-3.401743234198461e-05,-3.398275132352971e-05
unet_image_only_delta,GRA29_C20_25deg_particle3,next_frame,p95,negative_current,2438,7.96740355193255e-05,7.96650911104754e-05,7.963806696279341e-05
unet_image_only_delta,GRA29_C20_25deg_particle3,next_frame,bright_frac90,positive_current,511,-5.462551097727779e-06,-5.430023329559653e-06,-5.44525080843098e-06
unet_image_only_delta,GRA29_C20_25deg_particle3,next_frame,bright_frac90,negative_current,2438,1.0597112172129189e-05,1.0603308108648217e-05,1.0593767470255353e-05
unet_image_only_delta,GRA29_C20_25deg_particle4,next_frame,mean,positive_current,511,-8.004283920370054e-05,-7.954933453731756e-05,-7.954323266049126e-05
unet_image_only_delta,GRA29_C20_25deg_particle4,next_frame,mean,negative_current,2438,4.3763509764405723e-05,4.37621670933937e-05,4.374501713832838e-05
unet_image_only_delta,GRA29_C20_25deg_particle4,next_frame,p95,positive_current,511,-0.00012368450800351368,-0.0001226529955235766,-0.0001226730371275991
unet_image_only_delta,GRA29_C20_25deg_particle4,next_frame,p95,negative_current,2438,8.021005037779977e-05,8.023531544395245e-05,8.017504679739006e-05
unet_image_only_delta,GRA29_C20_25deg_particle4,next_frame,bright_frac90,positive_current,511,-1.3462353088974589e-05,-1.3386844125935944e-05,-1.3390941584308185e-05
unet_image_only_delta,GRA29_C20_25deg_particle4,next_frame,bright_frac90,negative_current,2438,1.267520842172804e-05,1.2693227417964597e-05,1.2671130657177407e-05
